71,75,78,78,68,67,75,72,67,68,72,75,74,74,67,66,66,67,66,66,78,80,73,75,67,72,67,67,67,65,77,78,61,64,63,66,51,57,77,67,78,76,60,59
77,77,70,71,68,66,75,75,73,72,71,77,66,65,60,58,70,70,71,74,80,79,64,64,60,55,70,68,76,74,75,75,65,65,73,73,71,70,73,73,63,62,52,52
67,59,60,65,69,69,73,70,66,63,70,70,79,76,73,70,71,73,73,68,74,75,80,74,73,71,67,64,71,70,72,70,63,64,70,71,67,61,66,69,70,74,66,66
65,57,58,51,70,63,71,76,58,58,63,58,69,62,77,68,72,74,69,61,72,63,77,63,76,67,67,66,67,63,61,54,56,50,63,65,59,55,75,71,73,70,60,58
67,64,73,75,77,77,74,70,65,62,74,75,65,67,68,70,66,69,67,60,74,75,62,64,66,71,62,61,64,69,73,76,64,66,61,64,65,60,68,75,74,80,67,68
75,74,71,71,62,58,70,64,71,68,76,68,71,71,58,58,70,69,70,72,75,73,74,72,66,60,63,66,70,64,75,70,64,62,66,62,68,69,69,66,64,58,57,52
71,74,71,74,62,53,68,64,69,68,72,74,70,68,57,50,68,69,60,60,81,71,66,53,51,38,78,72,68,68,71,71,60,54,67,67,74,62,66,59,52,38,34,17
59,65,53,60,72,74,67,69,64,67,64,65,71,70,68,71,72,70,70,70,75,78,72,71,71,71,67,64,67,71,71,74,62,66,72,73,57,57,64,71,70,69,53,49
77,59,76,78,40,34,75,63,65,26,70,28,50,46,25,66,46,52,63,63,68,56,46,47,12,6,28,23,56,48,68,55,63,54,40,20,65,68,56,57,5,10,13,10
78,75,69,66,69,71,75,75,67,67,58,50,44,47,63,73,75,77,73,76,36,42,48,43,61,61,71,73,62,64,39,37,28,30,68,71,73,69,72,74,65,68,56,55
69,69,73,72,66,63,76,72,69,66,69,79,72,74,58,62,73,70,69,71,78,76,71,76,65,63,66,70,60,63,74,75,62,64,66,68,69,72,73,69,71,71,57,62
64,75,74,73,57,61,63,70,63,72,75,81,73,77,36,38,63,73,63,65,66,63,74,77,29,28,53,52,64,68,68,73,59,61,64,66,58,69,56,73,37,38,24,18
59,57,67,71,66,68,68,70,56,62,77,61,67,71,75,71,67,64,62,54,64,75,71,72,76,79,75,70,71,77,71,69,56,54,62,64,56,53,71,68,64,63,56,56
69,68,73,74,62,67,74,73,67,65,70,75,64,68,58,57,66,70,57,63,68,71,68,69,40,38,55,59,67,67,76,78,65,67,61,65,76,79,74,73,64,56,53,45
63,61,75,72,68,71,69,70,64,56,70,75,76,73,70,72,76,73,68,68,79,76,68,76,66,73,58,68,72,75,72,75,65,61,66,67,58,57,72,72,68,71,57,58
72,71,70,72,63,69,71,73,71,71,79,75,71,71,65,74,68,74,71,71,70,78,62,67,62,60,59,59,69,66,75,75,57,57,66,69,68,67,69,64,58,62,52,54
74,81,80,78,70,69,74,77,69,71,73,76,68,68,62,61,68,68,67,70,74,80,68,74,57,62,57,65,61,65,71,76,63,65,67,67,70,74,63,72,68,70,61,64
68,73,78,83,70,71,77,74,65,61,75,74,70,69,54,56,61,60,86,79,86,86,82,79,72,58,75,57,65,53,77,75,58,61,64,56,72,68,69,65,65,62,58,58
64,69,72,82,36,43,72,73,57,63,80,82,56,63,35,33,70,75,60,67,70,78,51,61,24,17,61,61,63,67,69,74,57,61,68,71,59,73,48,74,33,38,13,9
55,66,58,75,71,77,68,73,63,69,77,78,60,69,59,60,69,69,67,70,72,80,67,72,53,60,70,58,46,67,68,84,69,79,70,74,62,71,67,66,63,61,53,60
67,65,61,61,60,62,75,74,68,68,72,75,70,75,63,68,72,75,64,70,76,75,70,70,67,63,66,67,69,66,77,77,64,66,68,69,70,69,75,66,71,70,57,63
57,44,74,68,82,76,78,62,66,67,74,72,71,70,67,69,68,68,69,74,75,71,73,71,69,65,58,63,54,63,68,74,73,76,66,65,63,66,71,71,71,68,66,60
73,67,74,73,79,75,76,77,61,60,70,73,76,77,71,71,65,65,69,64,75,76,78,80,72,69,61,59,71,68,76,79,68,67,71,67,63,59,68,66,74,71,59,57
61,66,70,75,60,60,74,75,64,67,68,75,65,64,58,57,68,70,62,68,66,75,60,65,55,51,61,67,61,64,72,78,62,69,66,70,66,73,50,59,48,55,47,45
69,65,70,74,64,71,70,74,66,67,71,75,65,69,63,66,70,75,68,70,76,82,67,69,66,64,69,71,68,69,73,72,59,67,65,66,65,68,68,76,67,75,63,61
59,58,69,74,71,73,70,68,57,55,64,68,76,75,67,66,66,63,72,67,77,75,80,75,73,69,65,61,71,75,71,77,65,66,66,66,61,56,74,71,72,69,62,60
70,69,72,70,72,76,78,72,62,57,68,73,64,65,67,60,73,67,63,55,77,74,62,60,56,57,60,60,61,61,75,76,59,63,67,63,74,66,76,77,74,73,65,67
68,64,74,80,76,72,78,75,67,64,75,80,78,77,66,64,67,67,70,60,78,82,70,68,63,60,64,60,54,56,70,73,59,65,55,58,50,51,73,70,69,65,42,41
47,47,48,69,80,52,52,52,58,46,45,48,42,59,40,38,62,54,63,69,64,63,79,70,33,19,49,46,44,43,49,57,43,75,49,27,36,39,47,57,14,20,21,4
65,77,72,73,57,60,59,68,65,70,72,73,61,71,51,57,60,63,69,68,75,80,70,70,58,61,64,69,65,72,71,74,60,67,63,63,50,59,45,66,44,52,40,44
68,66,70,70,62,67,73,74,69,70,70,75,69,70,65,68,70,67,64,64,74,75,68,68,66,66,64,56,71,68,69,75,63,64,62,62,74,68,81,75,74,70,65,58
71,71,71,72,77,72,73,65,69,65,81,79,68,72,67,71,70,70,64,61,72,67,56,73,67,75,62,58,58,58,73,69,66,61,55,56,52,53,65,58,71,76,68,70
67,65,73,78,60,57,66,62,63,63,74,74,72,66,56,54,65,62,67,69,79,81,72,72,55,55,51,57,65,66,72,74,64,64,64,60,74,73,69,73,73,66,62,58
65,67,67,61,55,57,66,74,64,69,61,62,71,71,53,53,64,71,65,66,71,73,65,70,47,39,80,75,67,64,72,66,53,55,63,64,60,61,74,63,59,58,50,49
61,60,60,62,64,72,68,67,74,68,76,70,74,71,76,74,74,70,75,66,69,62,65,60,66,65,68,59,64,59,72,65,55,56,66,66,66,60,60,58,60,67,49,52
66,54,69,66,69,69,75,72,63,62,68,66,68,70,71,68,70,69,66,68,73,72,65,73,67,63,60,57,70,68,75,75,65,67,69,65,65,64,67,69,71,68,59,59
72,63,68,62,72,63,79,61,57,49,76,75,55,57,43,37,54,52,57,56,78,78,57,55,35,37,57,57,41,35,67,70,75,72,53,46,63,62,53,43,38,35,32,26
76,75,75,77,75,72,75,75,68,75,72,71,62,65,59,64,65,67,77,81,76,77,68,72,66,63,65,68,69,65,75,76,58,63,72,75,65,70,73,71,64,63,50,50
59,55,51,65,68,45,21,25,45,41,57,74,68,77,28,25,3,11,54,67,58,75,65,77,33,31,14,17,39,43,65,73,61,71,18,24,44,59,36,47,29,28,52,13
58,70,62,73,34,41,55,54,65,77,73,78,65,65,33,48,57,64,69,67,68,64,61,58,60,59,73,70,45,40,71,74,52,56,59,62,67,75,36,39,22,19,29,24
68,58,76,71,64,70,73,75,61,58,68,64,69,71,66,73,75,69,78,74,81,78,73,74,72,80,69,69,67,67,74,74,58,59,69,70,58,53,70,67,66,78,53,64
62,54,73,68,72,71,76,76,62,52,66,58,73,65,70,70,73,73,59,52,65,59,70,55,72,65,68,70,69,66,69,66,61,51,69,72,60,54,74,68,73,67,56,52
63,70,64,72,56,64,58,69,68,70,68,78,75,64,67,67,68,72,67,67,78,75,68,66,65,62,68,67,64,68,74,75,58,58,66,69,59,58,53,64,59,54,43,49
76,77,69,70,64,69,76,80,50,56,70,74,61,55,54,59,65,65,53,72,76,73,51,47,43,46,66,80,73,73,71,65,60,53,69,70,54,62,64,66,51,42,28,22
64,70,71,69,72,70,75,78,61,66,69,68,68,70,71,70,75,76,73,72,80,78,79,81,74,70,72,79,73,75,77,73,65,64,72,72,59,62,71,74,68,67,58,57
76,65,60,40,32,34,65,50,53,37,66,53,33,31,30,30,69,75,64,45,68,65,57,43,23,23,53,77,48,32,55,32,48,23,62,51,65,59,43,39,35,30,24,21
55,54,71,74,21,25,60,27,69,64,74,79,64,70,58,38,72,64,63,62,77,75,61,58,42,37,64,54,20,15,66,73,66,67,43,36,77,59,24,35,18,27,29,22
62,63,66,62,67,66,80,79,55,55,61,58,52,62,49,48,78,83,59,68,73,66,59,58,42,49,67,86,59,52,72,74,58,63,70,70,76,66,67,58,54,65,46,42
74,76,72,74,70,71,73,77,70,73,69,73,74,75,62,68,75,73,69,71,73,74,72,73,67,62,73,69,73,75,75,76,60,62,69,72,62,67,71,75,61,62,49,51
77,63,68,70,66,70,80,79,60,57,75,68,63,66,63,69,69,70,36,34,48,47,72,77,62,66,62,62,57,69,73,75,62,63,69,71,56,53,74,76,72,73,64,63
70,76,62,67,74,72,80,76,55,59,62,64,64,58,73,70,74,71,72,68,73,69,72,63,69,63,60,57,47,52,67,64,66,62,73,69,71,70,60,62,67,67,60,56
67,59,54,48,63,67,77,78,71,61,57,57,59,50,72,72,77,77,76,73,85,67,58,50,39,33,54,50,57,50,45,41,38,43,76,77,80,69,61,48,63,61,37,36
